Case,Mode,Frequency (Hz),Period (s),Omega_n (rad/s)
Original,Mode 1,0.0649794179241133,15.38948842490183,0.4082777239698705
Original,Mode 2,0.1820682831322064,5.492444827822447,1.1439687614796923
Original,Mode 3,0.26309629194500894,3.800889752596798,1.6530827559223111
TMD_7,Mode 1,0.06484584688313816,15.421188064705955,0.4074384723677509
TMD_7,Mode 2,0.1384839285993097,7.221054530402633,0.8701201854556896
TMD_7,Mode 3,0.18412128103555875,5.431202707126903,1.156868127741706
TMD_7,Mode 4,0.26364736071931083,3.792945232873538,1.65654522314825
TMD_8,Mode 1,0.0635174682345602,15.743700556627266,0.3990920231606347
TMD_8,Mode 2,0.12949518758534095,7.722294694086388,0.8136422599866786
TMD_8,Mode 3,0.1830128192907603,5.464098110041446,1.1499034571932178
TMD_8,Mode 4,0.26534501484681994,3.7686783020110113,1.6672118986188882
TMD_9,Mode 1,0.06050872043112344,16.526543494475174,0.380187503169072
TMD_9,Mode 2,0.11945093087060407,8.37163840174051,0.750532333775104
TMD_9,Mode 3,0.18627852089987423,5.368305455557626,1.1704224655612352
TMD_9,Mode 4,0.26379009341259585,3.790892929538083,1.6574420391095528
